logVol,logPrice,Fshare,week,Q2,Q3,Q4
8.050881601,-1.499429906,0.005153865,74,1,0,0
7.931044878,-1.481696729,0.269103387,75,1,0,0
7.840017342,-1.425902862,0.02220027,76,1,0,0
7.797916702,-1.602572976,0.356621453,77,1,0,0
8.035206225,-1.448731168,0.002153208,78,1,0,0
8.470371883,-1.553904663,0.605082886,79,0,1,0
7.88668677,-1.533308526,0.009309997,80,0,1,0
7.705900051,-1.480391578,0.243416349,81,0,1,0
7.7573209,-1.487315938,0.033815935,82,0,1,0
7.756662389,-1.50010653,0.087379973,83,0,1,0
7.759106335,-1.40918094,0.123442822,84,0,1,0
7.866845477,-1.395457911,0.005730415,85,0,1,0
7.971761783,-1.50505734,0.265979597,86,0,1,0
7.824050361,-1.482968215,0.005805728,87,0,1,0
7.751577769,-1.513370338,0.003645416,88,0,1,0
7.61039884,-1.425384345,0.116893671,89,0,1,0
7.733107878,-1.425902367,0.227547452,90,0,1,0
7.647872565,-1.458992616,0.061747766,91,0,1,0
7.931644994,-1.46716573,0.007455113,92,0,0,1
7.846644058,-1.489356538,0.333604635,93,0,0,1
8.0584288,-1.479983469,0.190537149,94,0,0,1
7.653676127,-1.46403718,0.075469666,95,0,0,1
7.891699724,-1.615187822,0.138227915,96,0,0,1
7.74355619,-1.517632356,0.076806691,97,0,0,1
7.557910325,-1.490735518,0.203709678,98,0,0,1
7.869379717,-1.514905333,0.00310364,99,0,0,1
7.792417247,-1.517128058,0.001127874,100,0,0,1
8.022842746,-1.478930901,0.074501499,101,0,0,1
7.976770144,-1.53919451,0.120188306,102,0,0,1
7.918431773,-1.532242928,0.160713924,103,0,0,1
7.367915634,-1.446417647,0.166231838,104,0,0,1
7.735625178,-1.508021884,0.001117853,105,0,0,0
7.729620314,-1.502135478,0.051153424,106,0,0,0
8.129467843,-1.578158963,0.277113081,107,0,0,0
7.936232202,-1.568851516,0.228780189,108,0,0,0
8.084222139,-1.424300212,0.199596238,109,0,0,0
8.094992227,-1.454580589,0.117821999,110,0,0,0
7.473973269,-1.52252375,0.18810791,111,0,0,0
7.886928556,-1.480444688,0.123971157,112,0,0,0
7.98094524,-1.434475518,0.003114802,113,0,0,0
8.183535124,-1.514811446,0.077482163,114,0,0,0
7.803027193,-1.566794599,0.267266139,115,0,0,0
8.172014832,-1.527405123,0.219210829,116,0,0,0
7.79697826,-1.524120122,0.209714754,117,0,0,0
7.621526994,-1.457370439,0.17202028,118,1,0,0
7.730392293,-1.452677948,0.053469611,119,1,0,0
7.665555762,-1.487590901,0.004338117,120,1,0,0
7.568885383,-1.649104825,0.265702665,121,1,0,0
8.171667401,-1.46470727,0.148345944,122,1,0,0
7.5215584,-1.524907326,0.293577735,123,1,0,0
7.751316964,-1.457306363,0.081859752,124,1,0,0
7.813562196,-1.561831739,0.071378919,125,1,0,0
7.94996795,-1.505057982,0.461956568,126,1,0,0
8.00850244,-1.473014465,0.157175608,127,1,0,0
7.944772029,-1.492391899,0.003933038,128,1,0,0
7.95769393,-1.525718933,0.075418308,129,1,0,0
7.921482069,-1.491843239,0.008708977,130,1,0,0
7.959260337,-1.5462277,0.359158662,131,0,1,0
8.045874827,-1.567088725,0.002396205,132,0,1,0
8.00736899,-1.563221835,0.189995676,133,0,1,0
7.845083,-1.586668564,0.006269266,134,0,1,0
7.855600917,-1.575598414,0.238507697,135,0,1,0
8.159229129,-1.551579442,0.058990785,136,0,1,0
7.984689876,-1.637248128,0.092244984,137,0,1,0
8.145301887,-1.566884355,0.174075929,138,0,1,0
7.642657088,-1.56114619,0.04679647,139,0,1,0
7.965435687,-1.645819135,0.006999968,140,0,1,0
8.023620858,-1.615883154,0.034163671,141,0,1,0
8.111552268,-1.487805817,0.384926846,142,0,1,0
8.004458226,-1.576207568,0.344891343,143,0,1,0
7.874780924,-1.634875518,0.076789683,144,0,0,1
7.881767621,-1.567350387,0.073795756,145,0,0,1
7.909085296,-1.578651632,0.140102349,146,0,0,1
7.96568767,-1.54067279,0.156752955,147,0,0,1
7.744648048,-1.58129114,0.005940444,148,0,0,1
7.763076667,-1.508171512,0.041160135,149,0,0,1
8.121684539,-1.635066537,0.009747705,150,0,0,1
7.708316223,-1.598979755,0.067406123,151,0,0,1
7.729039356,-1.602235676,0.179498887,152,0,0,1
7.91011268,-1.679040856,0.054422604,153,0,0,1
8.000222679,-1.730804478,0.031063033,154,0,0,1
7.921148384,-1.659599449,0.12075056,155,0,0,1
7.68109984,-1.60969259,0.129684281,156,0,0,1
7.857412848,-1.51795342,0.069069238,157,0,0,0
7.954085005,-1.659631141,0.087872489,158,0,0,0
8.059045029,-1.622093699,0.149257259,159,0,0,0
8.091804292,-1.5483098,0.144616531,160,0,0,0
7.837111941,-1.648991565,0.023370632,161,0,0,0
7.947018548,-1.552341428,0.058643872,162,0,0,0
7.855330999,-1.536128679,0.121840123,163,0,0,0
8.058086103,-1.611081395,0.072902691,164,0,0,0
